id,ident,type,name,lat,long,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
123,BIKF,large_airport,Keflavik International Airport,63.98500061035156,-22.605600357055664,171,EU,IS,IS-2,Reykjavík,1,BIKF,KEF,,,http://en.wikipedia.org/wiki/Keflav%C3%ADk_International_Airport,Keflavik Naval Air Station
4310,LIBD,large_airport,Bari Karol Wojtyła Airport,41.1389007568,16.7605991364,177,EU,IT,IT-75,Bari,1,LIBD,BRI,,http://www.seap-puglia.it/default.asp?idlingua=2&idcontenuto=25,http://en.wikipedia.org/wiki/Bari_Karol_Wojty%C5%82a_Airport,"Bari ""Karol Wojtyla"" International Airport, Palese Macchie Airport, Palese Airport"
4341,LIME,large_airport,Il Caravaggio International Airport,45.6739006042,9.70417022705,782,EU,IT,IT-25,Bergamo,1,LIME,BGY,,http://www.sacbo.it/,http://en.wikipedia.org/wiki/Il_Caravaggio_International_Airport,Bergamo Orio al Serio Airport
4354,LIPE,large_airport,Bologna Guglielmo Marconi Airport,44.535400390599996,11.2887001038,123,EU,IT,IT-45,Bologna,1,LIPE,BLQ,,http://www.bologna-airport.it/?LN=UK,http://en.wikipedia.org/wiki/Bologna_Airport,"Guglielmo Marconi Airport, Borgo Panigale Airport"
4332,LIEE,large_airport,Cagliari Elmas Airport,39.251499176,9.05428028107,13,EU,IT,IT-88,Cagliari,1,LIEE,CAG,,http://www.cagliariairport.it/en/,http://en.wikipedia.org/wiki/Cagliari_Elmas_Airport,Cagliari Airport
4318,LICC,large_airport,Catania-Fontanarossa Airport,37.466800689699994,15.0663995743,39,EU,IT,IT-82,Catania,1,LICC,CTA,,http://www.aeroporto.catania.it/,http://en.wikipedia.org/wiki/Catania-Fontanarossa_Airport,"Lanza Di Trabie, Catania-Fontanarossa Vincenzo Bellini"
4350,LIMZ,large_airport,Cuneo International Airport,44.547000885,7.623219966890001,1267,EU,IT,IT-21,Cuneo,1,LIMZ,CUF,,http://www.aeroporto.cuneo.it/,http://en.wikipedia.org/wiki/Cuneo_International_Airport,"Cuneo Levaldigi Airport, Turin Cuneo Airport"
4344,LIMJ,large_airport,Genoa Cristoforo Colombo Airport,44.41329956049999,8.83749961853,13,EU,IT,IT-42,Genova,1,LIMJ,GOA,,http://www.aeroportodigenova.com/en/home/index.php,http://en.wikipedia.org/wiki/Genoa_Cristoforo_Colombo_Airport,"Genova Sestri, Sestri Cristoforo Colombo Airport, Cristoforo Colombo Airport"
4340,LIMC,large_airport,Malpensa International Airport,45.6305999756,8.728110313419998,768,EU,IT,IT-25,Milan,1,LIMC,MXP,,http://www.sea-aeroportimilano.it/en/malpensa/index.phtml,http://en.wikipedia.org/wiki/Malpensa_Airport,MIL
4345,LIML,large_airport,Linate Airport,45.445098877,9.27674007416,353,EU,IT,IT-25,Milan,1,LIML,LIN,,http://www.sea-aeroportimilano.it/en/,http://en.wikipedia.org/wiki/Linate_Airport,E Forlanini
4378,LIRN,large_airport,Naples International Airport,40.8860015869,14.290800094600002,294,EU,IT,IT-72,Nápoli,1,LIRN,NAP,,http://www.portal.gesac.it/,http://en.wikipedia.org/wiki/Naples_International_Airport,"Capodichino Airport, Aeroporto di Napoli-Capodichino, Aeroporto Internazionale di Napoli"
4321,LICJ,large_airport,Falcone–Borsellino Airport,38.1759986877,13.0909996033,65,EU,IT,IT-82,Palermo,1,LICJ,PMO,,http://www.gesap.it/index.php,http://en.wikipedia.org/wiki/Falcone%E2%80%93Borsellino_Airport,"Palermo Airport, Punta Raisi Airport"
4379,LIRP,large_airport,Pisa International Airport,43.683898925799994,10.3927001953,6,EU,IT,IT-52,Pisa,1,LIRP,PSA,,http://www.pisa-airport.com/,http://en.wikipedia.org/wiki/Pisa_International_Airport,"Galileo Galilei Airport, San Giusto Airport"
4370,LIRA,large_airport,Ciampino–G. B. Pastine International Airport,41.7994003296,12.5949001312,427,EU,IT,IT-62,Roma,1,LIRA,CIA,,,http://en.wikipedia.org/wiki/Ciampino%E2%80%93G._B._Pastine_International_Airport,"ROM, Giovan Battista Pastine Airport"
4372,LIRF,large_airport,Leonardo da Vinci–Fiumicino Airport,41.8045005798,12.2508001328,15,EU,IT,IT-62,Rome,1,LIRF,FCO,,http://www.adr.it/portal/portal/adr/Fiumicino/Leonardo_da_vinci/Header_Window?action=2,http://en.wikipedia.org/wiki/Leonardo_da_Vinci%E2%80%93Fiumicino_Airport,"ROM, Rome Fiumicino Airport, Fiumicino Airport"
4342,LIMF,large_airport,Turin Airport,45.2008018494,7.64963006973,989,EU,IT,IT-21,Torino,1,LIMF,TRN,,http://www.aeroportoditorino.it/,http://en.wikipedia.org/wiki/Turin_International_Airport,"Torino-Caselle Airport, Sandro Pertini Airport, Turin-Caselle Airport"
