id,ident,type,name,lat,long,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
4762,MMUN,large_airport,Cancún International Airport,21.036500930800003,-86.8770980835,22,,MX,MX-ROO,Cancún,1,MMUN,CUN,,http://www.asur.com.mx/asur/ingles/aeropuertos/cancun/cancun.asp,http://en.wikipedia.org/wiki/Canc%C3%BAn_International_Airport,
4713,MMHO,large_airport,General Ignacio P. Garcia International Airport,29.095899581900003,-111.047996521,627,,MX,MX-SON,Hermosillo,1,MMHO,HMO,,,http://en.wikipedia.org/wiki/General_Ignacio_Pesqueira_Garcia_International_Airport,
4793,MPTO,large_airport,Tocumen International Airport,9.0713596344,-79.3834991455,135,,PA,PA-8,Tocumen,1,MPTO,PTY,,,http://en.wikipedia.org/wiki/Tocumen_International_Airport,La Joya No 1
6384,TJSJ,large_airport,Luis Munoz Marin International Airport,18.4393997192,-66.0018005371,9,,PR,PR-U-A,San Juan,1,TJSJ,SJU,SJU,,http://en.wikipedia.org/wiki/Luis_Mu%C3%B1oz_Mar%C3%ADn_International_Airport,Isla Verde
6406,TNCM,large_airport,Princess Juliana International Airport,18.041000366200002,-63.1088981628,13,,SX,SX-U-A,Saint Martin,1,TNCM,SXM,,,http://en.wikipedia.org/wiki/Princess_Juliana_International_Airport,
5388,PANC,large_airport,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152,,US,US-AK,Anchorage,1,PANC,ANC,ANC,,http://en.wikipedia.org/wiki/Ted_Stevens_Anchorage_International_Airport,
5360,PAFA,large_airport,Fairbanks International Airport,64.81510162,-147.8560028,439,,US,US-AK,Fairbanks,1,PAFA,FAI,FAI,,http://en.wikipedia.org/wiki/Fairbanks_International_Airport,
3406,KBHM,large_airport,Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189,650,,US,US-AL,Birmingham,1,KBHM,BHM,BHM,http://www.flybirmingham.com/,http://en.wikipedia.org/wiki/Birmingham_International_Airport_(US),
3594,KHSV,large_airport,Huntsville International Carl T Jones Field,34.637199401855,-86.775100708008,629,,US,US-AL,Huntsville,1,KHSV,HSV,HSV,http://www.flyhuntsville.com/portal/#.VbaG-_lVhBc,http://en.wikipedia.org/wiki/Huntsville_International_Airport,
3772,KPHX,large_airport,Phoenix Sky Harbor International Airport,33.43429946899414,-112.01200103759766,1135,,US,US-AZ,Phoenix,1,KPHX,PHX,PHX,http://phoenix.gov/skyharborairport/,http://en.wikipedia.org/wiki/Phoenix_Sky_Harbor_International_Airport,
3932,KTUS,large_airport,Tucson International Airport,32.1161003112793,-110.94100189208984,2643,,US,US-AZ,Tucson,1,KTUS,TUS,TUS,,http://en.wikipedia.org/wiki/Tucson_International_Airport,
3632,KLAX,large_airport,Los Angeles International Airport,33.94250107,-118.4079971,125,,US,US-CA,Los Angeles,1,KLAX,LAX,LAX,http://www.iflylax.com/,http://en.wikipedia.org/wiki/Los_Angeles_International_Airport,
3752,KONT,large_airport,Ontario International Airport,34.055999755859375,-117.60099792480469,944,,US,US-CA,Ontario,1,KONT,ONT,ONT,,http://en.wikipedia.org/wiki/LA/Ontario_International_Airport,
3892,KSMF,large_airport,Sacramento International Airport,38.69540023803711,-121.59100341796875,27,,US,US-CA,Sacramento,1,KSMF,SMF,SMF,,http://en.wikipedia.org/wiki/Sacramento_International_Airport,
3862,KSAN,large_airport,San Diego International Airport,32.7336006165,-117.190002441,17,,US,US-CA,San Diego,1,KSAN,SAN,SAN,http://www.san.org/,http://en.wikipedia.org/wiki/San_Diego_International_Airport,Lindbergh Field
3878,KSFO,large_airport,San Francisco International Airport,37.61899948120117,-122.375,13,,US,US-CA,San Francisco,1,KSFO,SFO,SFO,http://www.flysfo.com/,http://en.wikipedia.org/wiki/San_Francisco_International_Airport,"QSF, QBA"
3883,KSJC,large_airport,Norman Y. Mineta San Jose International Airport,37.36259841918945,-121.92900085449219,62,,US,US-CA,San Jose,1,KSJC,SJC,SJC,,http://en.wikipedia.org/wiki/San_Jose_International_Airport,"QSF, QBA"
3486,KDEN,large_airport,Denver International Airport,39.861698150634766,-104.6729965209961,5431,,US,US-CO,Denver,1,KDEN,DEN,DEN,http://www.flydenver.com/,http://en.wikipedia.org/wiki/Denver_International_Airport,
3396,KBDL,large_airport,Bradley International Airport,41.9388999939,-72.68319702149999,173,,US,US-CT,Hartford,1,KBDL,BDL,BDL,http://www.bradleyairport.com/,http://en.wikipedia.org/wiki/Bradley_International_Airport,"HFD, Hartford"
3602,KIAD,large_airport,Washington Dulles International Airport,38.94449997,-77.45580292,312,,US,US-DC,Washington,1,KIAD,IAD,IAD,http://www.mwaa.com/dulles/,http://en.wikipedia.org/wiki/Washington_Dulles_International_Airport,WAS
3620,KJAX,large_airport,Jacksonville International Airport,30.49410057067871,-81.68789672851562,30,,US,US-FL,Jacksonville,1,KJAX,JAX,JAX,,http://en.wikipedia.org/wiki/Jacksonville_International_Airport,
3685,KMIA,large_airport,Miami International Airport,25.79319953918457,-80.29060363769531,8,,US,US-FL,Miami,1,KMIA,MIA,MIA,http://www.miami-airport.com/,http://en.wikipedia.org/wiki/Miami_International_Airport,"MFW, South Florida"
3670,KMCO,large_airport,Orlando International Airport,28.429399490356445,-81.30899810791016,96,,US,US-FL,Orlando,1,KMCO,MCO,MCO,http://www.orlandoairports.net/,http://en.wikipedia.org/wiki/Orlando_International_Airport,"Disney World,Epcot Center"
3926,KTPA,large_airport,Tampa International Airport,27.975500106811523,-82.533203125,26,,US,US-FL,Tampa,1,KTPA,TPA,TPA,,http://en.wikipedia.org/wiki/Tampa_International_Airport,
